institution.name,specialty.name,program.name,degree,program.link
Академия госслужбы,Экономика (38.03.01),"Бухгалтерский учет, анализ и аудит",Бакалавр,https://kursk.postupi.online/vuz/kagms/programma/390/
Курский филиал Финансового университета,Менеджмент (38.03.02),Финансовый менеджмент,Бакалавр,https://kursk.postupi.online/vuz/kurskij-filial-finuniversiteta/programma/565/
Курский филиал Финансового университета,Экономика (38.03.01),Финансовая разведка,Бакалавр,https://kursk.postupi.online/vuz/kurskij-filial-finuniversiteta/programma/8448/
Курский филиал Финансового университета,Экономика (38.03.01),"Учет, анализ и аудит",Бакалавр,https://kursk.postupi.online/vuz/kurskij-filial-finuniversiteta/programma/390/
Курский ГАУ им. И. И. Иванова,Наземные транспортно-технологические комплексы (23.03.02),Эксплуатация автомобилей и тракторов,Бакалавр,https://kursk.postupi.online/vuz/inzhenernyj-fakultet-kurskaya-gsha/programma/11606/
Курский ГАУ им. И. И. Иванова,Продукты питания животного происхождения (19.03.03),Технология производства продуктов питания животного происхождения,Бакалавр,https://kursk.postupi.online/vuz/zooinzhenernyj-fakultet-kurskaya-gsha/programma/1663/
Курский ГАУ им. И. И. Иванова,Агрономия (35.03.04),Производство продукции растениеводства,Бакалавр,https://kursk.postupi.online/vuz/agrotehnologicheskij-fakultet-kurskaya-gsha/programma/11605/
Курский ГАУ им. И. И. Иванова,Агроинженерия (35.03.06),Электрооборудование и электротехнологии в АПК,Бакалавр,https://kursk.postupi.online/vuz/inzhenernyj-fakultet-kurskaya-gsha/programma/1717/
Курский ГАУ им. И. И. Иванова,Ветеринарно-санитарная экспертиза (36.03.01),Ветеринарно-санитарная экспертиза и безопасность сырья и пищевых продуктов,Бакалавр,https://kursk.postupi.online/vuz/fakultet-veterinarnoj-mediciny-kurskaya-gsha/programma/1601/
Курский ГАУ им. И. И. Иванова,Технология производства и переработки сельскохозяйственной продукции (35.03.07),"Технология производства, хранения и переработки продукции растениеводства",Бакалавр,https://kursk.postupi.online/vuz/agrotehnologicheskij-fakultet-kurskaya-gsha/programma/1703/
Курский ГАУ им. И. И. Иванова,Экономика (38.03.01),Экономика и управление в агробизнесе,Бакалавр,https://kursk.postupi.online/vuz/ekonomicheskij-fakultet-kurskaya-gsha/programma/3446/
Курский ГАУ им. И. И. Иванова,Агроинженерия (35.03.06),Технические системы в АПК,Бакалавр,https://kursk.postupi.online/vuz/inzhenernyj-fakultet-kurskaya-gsha/programma/1713/
Курский ГАУ им. И. И. Иванова,Землеустройство и кадастры (21.03.02),Землеустройство,Бакалавр,https://kursk.postupi.online/vuz/inzhenernyj-fakultet-kurskaya-gsha/programma/926/
Курский ГАУ им. И. И. Иванова,Агроинженерия (35.03.06),Машины и оборудование для хранения и переработки сельскохозяйственной продукции,Бакалавр,https://kursk.postupi.online/vuz/inzhenernyj-fakultet-kurskaya-gsha/programma/3436/
Курский ГАУ им. И. И. Иванова,Ветеринария (36.05.01),Болезни продуктивных и непродуктивных животных,Ветеринарный врач,https://kursk.postupi.online/vuz/fakultet-veterinarnoj-mediciny-kurskaya-gsha/programma/10046/
Курский ГАУ им. И. И. Иванова,Технология производства и переработки сельскохозяйственной продукции (35.03.07),"Технология производства, хранения и переработки продукции животноводства",Бакалавр,https://kursk.postupi.online/vuz/agrotehnologicheskij-fakultet-kurskaya-gsha/programma/1704/
Курский ГАУ им. И. И. Иванова,Экономика (38.03.01),"Учет, финансы и бизнес-аналитика в АПК",Бакалавр,https://kursk.postupi.online/vuz/ekonomicheskij-fakultet-kurskaya-gsha/programma/17110/
Курский ГАУ им. И. И. Иванова,Зоотехния (36.03.02),Технология производства продукции животноводства,Бакалавр,https://kursk.postupi.online/vuz/zooinzhenernyj-fakultet-kurskaya-gsha/programma/3021/
Курский ГАУ им. И. И. Иванова,Агрономия (35.03.04),Защита растений,Бакалавр,https://kursk.postupi.online/vuz/agrotehnologicheskij-fakultet-kurskaya-gsha/programma/1670/
Курский ГАУ им. И. И. Иванова,Информационные системы и технологии (09.03.02),Информационные системы и технологии в АПК,Бакалавр,https://kursk.postupi.online/vuz/inzhenernyj-fakultet-kurskaya-gsha/programma/11287/
Курский ГАУ им. И. И. Иванова,Юриспруденция (40.03.01),Гражданское и корпоративное право,Бакалавр,https://kursk.postupi.online/vuz/ekonomicheskij-fakultet-kurskaya-gsha/programma/5958/
Курский ГАУ им. И. И. Иванова,Садоводство (35.03.05),Декоративное садоводство,Бакалавр,https://kursk.postupi.online/vuz/agrotehnologicheskij-fakultet-kurskaya-gsha/programma/1691/
Курский ГАУ им. И. И. Иванова,Электроэнергетика и электротехника (13.03.02),Эксплуатация электрооборудования,Бакалавр,https://kursk.postupi.online/vuz/inzhenernyj-fakultet-kurskaya-gsha/programma/1202/
Курский ГАУ им. И. И. Иванова,Ландшафтная архитектура (35.03.10),Ландшафтное проектирование и дизайн,Бакалавр,https://kursk.postupi.online/vuz/agrotehnologicheskij-fakultet-kurskaya-gsha/programma/1695/
Филиал МИЭП в Курске,Экономика (38.03.01),Финансы и кредит,Бакалавр,https://kursk.postupi.online/vuz/filial-miep-kursk/programma/389/
Филиал МИЭП в Курске,Экономика (38.03.01),Экономика предприятий и организаций,Бакалавр,https://kursk.postupi.online/vuz/filial-miep-kursk/programma/424/
Филиал МИЭП в Курске,Менеджмент (38.03.02),Предпринимательство и управление бизнесом,Бакалавр,https://kursk.postupi.online/vuz/filial-miep-kursk/programma/1338/
Филиал МИЭП в Курске,Экономика (38.03.01),"Бухгалтерский учет, анализ и аудит",Бакалавр,https://kursk.postupi.online/vuz/filial-miep-kursk/programma/390/
Филиал МИЭП в Курске,Юриспруденция (40.03.01),Уголовно-правовой профиль,Бакалавр,https://kursk.postupi.online/vuz/filial-miep-kursk/programma/630/
